Подмена устройства	С2000-АСПТ (вер. > 3.50)	350
Восстановление контакта с устройством	С2000-АСПТ (вер. > 3.50)	350
Потерян контакт с устройством	С2000-АСПТ (вер. > 3.50)	350
Перезапуск устройства	С2000-АСПТ (вер. > 3.50)	350
Восстановление корпуса	С2000-АСПТ (вер. > 3.50)	350
Взлом корпуса	С2000-АСПТ (вер. > 3.50)	350
Запуск внутреннего теста	С2000-АСПТ (вер. > 3.50)	350
Локальное программирование	С2000-АСПТ (вер. > 3.50)	350
Доступ отклонен	С2000-АСПТ (вер. > 3.50)	350
Изменение состояния	С2000-АСПТ (вер. > 3.50)	350
Изменение состояния	С2000-БИ	0
Отключение звука	С2000-БИ	0
Взлом корпуса	С2000-БИ	0
Восстановление корпуса	С2000-БИ	0
Перезапуск устройства	С2000-БИ	0
Потерян контакт с устройством	С2000-БИ	0
Восстановление контакта с устройством	С2000-БИ	0
Подмена устройства	С2000-БИ	0
Подмена устройства	С2000-БИ	223
Восстановление контакта с устройством	С2000-БИ	223
Потерян контакт с устройством	С2000-БИ	223
Перезапуск устройства	С2000-БИ	223
Восстановление корпуса	С2000-БИ	223
Взлом корпуса	С2000-БИ	223
Отключение звука	С2000-БИ	223
Изменение состояния	С2000-БИ	223
Изменение состояния	С2000-БИ исп. 01	0
Восстановление корпуса	С2000-БИ исп. 01	0
Перезапуск устройства	С2000-БИ исп. 01	0
Взлом корпуса	С2000-БИ исп. 01	0
Отключение звука	С2000-БИ исп. 01	0
Потерян контакт с устройством	С2000-БИ исп. 01	0
Восстановление контакта с устройством	С2000-БИ исп. 01	0
Подмена устройства	С2000-БИ исп. 01	0
Изменение состояния	С2000-БКИ	220
Отключение звука	С2000-БКИ	220
Взлом корпуса	С2000-БКИ	220
Восстановление корпуса	С2000-БКИ	220
Перезапуск устройства	С2000-БКИ	220
Потерян контакт с устройством	С2000-БКИ	220
Восстановление контакта с устройством	С2000-БКИ	220
Подмена устройства	С2000-БКИ	220
Взлом корпуса	С2000-К	0
Восстановление корпуса	С2000-К	0
Перезапуск устройства	С2000-К	0
Потерян контакт с устройством	С2000-К	0
Восстановление контакта с устройством	С2000-К	0
Подмена устройства	С2000-К	0
Изменение состояния	С2000-К	0
Изменение состояния	С2000-КДЛ	0
Восстановление ДПЛС	С2000-КДЛ	0
Взлом корпуса	С2000-КДЛ	0
Восстановление корпуса	С2000-КДЛ	0
Потеря связи по ветви ДПЛС1	С2000-КДЛ	0
Потеря связи по ветви ДПЛС2	С2000-КДЛ	0
Восстановление связи по ветви ДПЛС1	С2000-КДЛ	0
Неисправность источника питания	С2000-КДЛ	0
Восстановление источника питания	С2000-КДЛ	0
Восстановление связи по ветви ДПЛС2	С2000-КДЛ	0
Перезапуск устройства	С2000-КДЛ	0
Короткое замыкание ДПЛС	С2000-КДЛ	0
Повышение напряжения ДПЛС	С2000-КДЛ	0
Потерян контакт с устройством	С2000-КДЛ	0
Восстановление контакта с устройством	С2000-КДЛ	0
Подмена устройства	С2000-КДЛ	0
Восстановление контакта с устройством	С2000-КДЛ-2И	0
Потерян контакт с устройством	С2000-КДЛ-2И	0
Подмена устройства	С2000-КДЛ-2И	0
Повышение напряжения ДПЛС	С2000-КДЛ-2И	0
Короткое замыкание ДПЛС	С2000-КДЛ-2И	0
Перезапуск устройства	С2000-КДЛ-2И	0
Восстановление связи по ветви ДПЛС2	С2000-КДЛ-2И	0
Восстановление источника питания	С2000-КДЛ-2И	0
Неисправность источника питания	С2000-КДЛ-2И	0
Восстановление связи по ветви ДПЛС1	С2000-КДЛ-2И	0
Потеря связи по ветви ДПЛС2	С2000-КДЛ-2И	0
Потеря связи по ветви ДПЛС1	С2000-КДЛ-2И	0
Восстановление корпуса	С2000-КДЛ-2И	0
Взлом корпуса	С2000-КДЛ-2И	0
Восстановление ДПЛС	С2000-КДЛ-2И	0
Изменение состояния	С2000-КДЛ-2И	0
Изменение состояния	С2000-КДЛ-Modbus	0
Восстановление ДПЛС	С2000-КДЛ-Modbus	0
Взлом корпуса	С2000-КДЛ-Modbus	0
